b_region,s_region,date_a,value1,date_b,value2
서울,서울강남구,2013-03-04,71.9,2013-03-04,0.09
서울,서울강남구,2013-03-11,71.9,2013-03-11,0.04
서울,서울강남구,2013-03-18,71.9,2013-03-18,0.01
서울,서울강남구,2013-03-25,71.9,2013-03-25,0.0
서울,서울강동구,2013-03-04,74.3,2013-03-04,0.1
서울,서울강동구,2013-03-11,74.3,2013-03-11,0.03
서울,서울강동구,2013-03-18,74.3,2013-03-18,0.02
서울,서울강동구,2013-03-25,74.4,2013-03-25,0.01
서울,서울강서구,2013-03-04,77.0,2013-03-04,-0.13
서울,서울강서구,2013-03-11,76.8,2013-03-11,-0.38
서울,서울강서구,2013-03-18,76.7,2013-03-18,-0.26
서울,서울강서구,2013-03-25,76.7,2013-03-25,-0.08
서울,서울관악구,2013-03-04,77.5,2013-03-04,-0.06
서울,서울관악구,2013-03-11,77.5,2013-03-11,-0.02
서울,서울관악구,2013-03-18,77.4,2013-03-18,0.0
서울,서울관악구,2013-03-25,77.4,2013-03-25,-0.09
서울,서울구로구,2013-03-04,77.6,2013-03-04,-0.24
서울,서울구로구,2013-03-11,77.5,2013-03-11,-0.05
서울,서울구로구,2013-03-18,77.5,2013-03-18,-0.02
서울,서울구로구,2013-03-25,77.5,2013-03-25,0.0
서울,서울금천구,2013-03-04,81.2,2013-03-04,0.0
서울,서울금천구,2013-03-11,81.0,2013-03-11,0.0
서울,서울금천구,2013-03-18,81.0,2013-03-18,-0.14
서울,서울금천구,2013-03-25,81.0,2013-03-25,-0.06
서울,서울동작구,2013-03-04,73.2,2013-03-04,-0.23
서울,서울동작구,2013-03-11,73.1,2013-03-11,-0.3
서울,서울동작구,2013-03-18,73.1,2013-03-18,-0.09
서울,서울동작구,2013-03-25,73.1,2013-03-25,-0.02
서울,서울서초구,2013-03-04,73.9,2013-03-04,0.01
서울,서울서초구,2013-03-11,73.9,2013-03-11,0.0
서울,서울서초구,2013-03-18,73.9,2013-03-18,0.0
서울,서울서초구,2013-03-25,73.9,2013-03-25,-0.02
서울,서울송파구,2013-03-04,73.4,2013-03-04,0.01
서울,서울송파구,2013-03-11,73.5,2013-03-11,0.16
서울,서울송파구,2013-03-18,73.5,2013-03-18,0.06
서울,서울송파구,2013-03-25,73.6,2013-03-25,0.06
서울,서울양천구,2013-03-04,73.5,2013-03-04,-0.1
서울,서울양천구,2013-03-11,73.4,2013-03-11,-0.01
서울,서울양천구,2013-03-18,73.4,2013-03-18,-0.08
서울,서울양천구,2013-03-25,73.3,2013-03-25,-0.02
서울,서울영등포구,2013-03-04,71.4,2013-03-04,-0.02
서울,서울영등포구,2013-03-11,71.3,2013-03-11,-0.12
서울,서울영등포구,2013-03-18,71.3,2013-03-18,-0.15
서울,서울영등포구,2013-03-25,71.2,2013-03-25,-0.1
경기,수원,2013-03-04,89.2,2013-03-04,-0.02
경기,수원,2013-03-11,89.1,2013-03-11,-0.04
경기,수원,2013-03-18,89.2,2013-03-18,-0.01
경기,수원,2013-03-25,89.1,2013-03-25,0.01
경기,수원장안구,2013-03-04,87.5,2013-03-04,-0.04
경기,수원장안구,2013-03-11,87.5,2013-03-11,-0.04
경기,수원장안구,2013-03-18,87.5,2013-03-18,0.0
경기,수원장안구,2013-03-25,87.5,2013-03-25,0.0
경기,수원권선구,2013-03-04,91.3,2013-03-04,-0.03
경기,수원권선구,2013-03-11,91.2,2013-03-11,-0.05
경기,수원권선구,2013-03-18,91.2,2013-03-18,-0.04
경기,수원권선구,2013-03-25,91.2,2013-03-25,0.0
경기,수원팔달구,2013-03-04,88.2,2013-03-04,-0.01
경기,수원팔달구,2013-03-11,88.2,2013-03-11,0.0
경기,수원팔달구,2013-03-18,88.2,2013-03-18,0.0
경기,수원팔달구,2013-03-25,88.2,2013-03-25,0.0
경기,수원영통구,2013-03-04,89.2,2013-03-04,0.0
경기,수원영통구,2013-03-11,89.2,2013-03-11,-0.04
경기,수원영통구,2013-03-18,89.2,2013-03-18,0.0
경기,수원영통구,2013-03-25,89.1,2013-03-25,0.03
경기,성남,2013-03-04,72.6,2013-03-04,-0.02
경기,성남,2013-03-11,72.6,2013-03-11,0.0
경기,성남,2013-03-18,72.6,2013-03-18,-0.01
경기,성남,2013-03-25,72.5,2013-03-25,-0.05
경기,성남수정구,2013-03-04,85.5,2013-03-04,-0.02
경기,성남수정구,2013-03-11,85.5,2013-03-11,-0.02
경기,성남수정구,2013-03-18,85.5,2013-03-18,-0.05
경기,성남수정구,2013-03-25,85.5,2013-03-25,0.0
경기,성남중원구,2013-03-04,82.5,2013-03-04,-0.09
경기,성남중원구,2013-03-11,82.5,2013-03-11,0.0
경기,성남중원구,2013-03-18,82.5,2013-03-18,0.0
경기,성남중원구,2013-03-25,82.5,2013-03-25,0.0
경기,성남분당구,2013-03-04,69.8,2013-03-04,0.0
경기,성남분당구,2013-03-11,69.8,2013-03-11,0.01
경기,성남분당구,2013-03-18,69.7,2013-03-18,0.0
경기,성남분당구,2013-03-25,69.7,2013-03-25,-0.06
경기,고양,2013-03-04,88.3,2013-03-04,-0.15
경기,고양,2013-03-11,88.2,2013-03-11,-0.04
경기,고양,2013-03-18,88.1,2013-03-18,-0.09
