종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"332290","대신밸런스제7호스팩","KOSDAQ","금융","2400","0","0.00","12492000000"
"336570","대신밸런스제8호스팩","KOSDAQ","금융","2285","-45","-1.93","12818850000"
"369370","대신밸런스제9호스팩","KOSDAQ","금융","2350","0","0.00","9893500000"
"020180","대신정보통신","KOSDAQ","컴퓨터서비스","2450","-50","-2.00","94150841750"
"045390","대아티아이","KOSDAQ","일반전기전자","6790","210","3.19","483118834380"
"108380","대양전기공업","KOSDAQ","운송장비·부품","19150","50","0.26","183214426950"
"006580","대양제지","KOSDAQ","종이·목재","3260","0","0.00","87531000000"
"007680","대원","KOSDAQ","건설","10700","0","0.00","135797659000"
"048910","대원미디어","KOSDAQ","유통","34200","-400","-1.16","430199953200"
"005710","대원산업","KOSDAQ","운송장비·부품","8380","-10","-0.12","167915088000"
"290380","대유","KOSDAQ","화학","8980","-50","-0.55","127216068000"
"290120","대유에이피","KOSDAQ","운송장비·부품","8150","-30","-0.37","92678148800"
"120240","대정화금","KOSDAQ","화학","25750","-50","-0.19","185152568250"
"003310","대주산업","KOSDAQ","음식료·담배","2715","-80","-2.86","96090230250"
"078600","대주전자재료","KOSDAQ","IT부품","56600","300","0.53","870940650400"
"096350","대창솔루션","KOSDAQ","금속","678","-9","-1.31","111029964102"
"140520","대창스틸","KOSDAQ","금속","3415","-35","-1.01","72088064845"
"131220","대한과학","KOSDAQ","유통","12050","-150","-1.23","89826604500"
"010170","대한광통신","KOSDAQ","일반전기전자","3400","-120","-3.41","250721525000"
"060900","대한그린파워","KOSDAQ","화학","2205","-25","-1.12","348199803315"
"054670","대한뉴팜","KOSDAQ","제약","11400","100","0.88","163646088000"
"023910","대한약품","KOSDAQ","제약","32400","-150","-0.46","194400000000"
"021040","대호특수강","KOSDAQ","금속","968","-23","-2.32","70773215568"
"021045","대호특수강우","KOSDAQ","금속","1635","10","0.62","6936431910"
"067080","대화제약","KOSDAQ","제약","11750","-50","-0.42","218745637500"
"298540","더네이쳐홀딩스","KOSDAQ","섬유·의류","66200","-1400","-2.07","481428113600"
"299170","더블유에스아이","KOSDAQ","유통","3205","5","0.16","93707671415"
"213420","덕산네오룩스","KOSDAQ","반도체","58600","-100","-0.17","1406986703200"
"317330","덕산테코피아","KOSDAQ","반도체","24600","50","0.20","452084728800"
"077360","덕산하이메탈","KOSDAQ","일반전기전자","15900","-450","-2.75","361224165900"
"090410","덕신하우징","KOSDAQ","금속","2280","-115","-4.80","105071736600"
"263600","덕우전자","KOSDAQ","일반전기전자","8910","-200","-2.20","141939062100"
"194480","데브시스터즈","KOSDAQ","디지털컨텐츠","82000","-2500","-2.96","938886880000"
"263800","데이타솔루션","KOSDAQ","정보기기","6600","-20","-0.30","106230828000"
"206560","덱스터","KOSDAQ","오락·문화","11900","-950","-7.39","301642818400"
"261200","덴티스","KOSDAQ","의료·정밀기기","13600","-150","-1.09","200707304000"
"067990","도이치모터스","KOSDAQ","유통","8790","230","2.69","260392375740"
"006620","동구바이오제약","KOSDAQ","제약","9330","-140","-1.48","265578375360"
"100130","동국S&C","KOSDAQ","금속","6100","-100","-1.61","348572300000"
"005160","동국산업","KOSDAQ","금속","3885","-15","-0.38","210739812570"
"075970","동국알앤에스","KOSDAQ","비금속","5460","-160","-2.85","100464000000"
"086450","동국제약","KOSDAQ","제약","25650","-150","-0.58","1140399000000"
"099410","동방선기","KOSDAQ","운송장비·부품","3275","-65","-1.95","44346781550"
"033500","동성화인텍","KOSDAQ","화학","12400","-250","-1.98","357799148000"
"025950","동신건설","KOSDAQ","건설","43700","-550","-1.24","367080000000"
"088130","동아엘텍","KOSDAQ","기계·장비","12750","-450","-3.41","135952459500"
"041930","동아화성","KOSDAQ","화학","13500","-350","-2.53","213300000000"
"060380","동양에스텍","KOSDAQ","금속","4115","-55","-1.32","81065500000"
"079960","동양이엔피","KOSDAQ","IT부품","17800","-100","-0.56","139908000000"
"228340","동양파일","KOSDAQ","비금속","6240","-40","-0.64","124800000000"
"088910","동우팜투테이블","KOSDAQ","음식료·담배","3315","-50","-1.49","85632297660"
"094170","동운아나텍","KOSDAQ","반도체","7100","40","0.57","124800292600"
"013120","동원개발","KOSDAQ","건설","6520","10","0.15","592068812000"
"109860","동일금속","KOSDAQ","금속","14050","-150","-1.06","98350000000"
"032960","동일기연","KOSDAQ","IT부품","16850","-1250","-6.91","59030352250"
"023790","동일철강","KOSDAQ","금속","7230","-40","-0.55","53104964550"
"005290","동진쎄미켐","KOSDAQ","반도체","29600","600","2.07","1521869022400"
"025900","동화기업","KOSDAQ","종이·목재","74600","-1300","-1.71","1507007804200"
"073190","듀오백","KOSDAQ","기타제조","4010","-55","-1.35","47991840400"
