MESR_YM,SIDONM,SUM_YN,INDX_VALU
201501,강원도,N,133.6
201501,충청북도,N,118.8
201501,충청남도,N,122.4
201501,전라북도,N,118.8
201501,전라남도,N,110.0
201501,경상북도,N,120.2
201501,경상남도,N,119.2
201502,전국,Y,132.2
201502,수도권,Y,136.3
201502,서울특별시,N,140.5
201502,인천광역시,N,134.2
201502,경기도,N,134.4
201502,비수도권,Y,127.2
201502,부산광역시,N,129.9
201502,대구광역시,N,137.3
201502,광주광역시,N,136.7
201502,대전광역시,N,116.8
201502,울산광역시,N,131.7
201502,강원도,N,139.1
201502,충청북도,N,121.9
201502,충청남도,N,123.6
201502,전라북도,N,122.6
201502,전라남도,N,115.0
201502,경상북도,N,121.6
201502,경상남도,N,121.8
201503,전국,Y,134.6
201503,수도권,Y,138.9
201503,서울특별시,N,142.6
201503,인천광역시,N,139.3
201503,경기도,N,136.8
201503,비수도권,Y,129.2
201503,부산광역시,N,134.5
201503,대구광역시,N,140.9
201503,광주광역시,N,141.1
201503,대전광역시,N,117.9
201503,울산광역시,N,129.2
201503,강원도,N,136.0
201503,충청북도,N,121.2
201503,충청남도,N,117.2
201503,전라북도,N,121.9
201503,전라남도,N,122.0
201503,경상북도,N,125.4
201503,경상남도,N,125.0
201504,전국,Y,136.3
201504,수도권,Y,141.1
201504,서울특별시,N,143.7
201504,인천광역시,N,139.5
201504,경기도,N,139.9
201504,비수도권,Y,130.8
201504,부산광역시,N,136.8
201504,대구광역시,N,141.6
201504,광주광역시,N,137.7
201504,대전광역시,N,119.6
201504,울산광역시,N,134.2
201504,강원도,N,140.6
201504,충청북도,N,121.3
201504,충청남도,N,116.3
201504,전라북도,N,123.0
201504,전라남도,N,121.7
201504,경상북도,N,127.7
201504,경상남도,N,129.7
201505,전국,Y,132.7
201505,수도권,Y,137.6
201505,서울특별시,N,141.4
201505,인천광역시,N,135.8
201505,경기도,N,135.9
201505,비수도권,Y,126.9
201505,부산광역시,N,132.8
201505,대구광역시,N,135.3
201505,광주광역시,N,136.5
201505,대전광역시,N,115.0
201505,울산광역시,N,132.6
201505,강원도,N,135.1
201505,충청북도,N,117.5
201505,충청남도,N,117.1
201505,전라북도,N,124.9
201505,전라남도,N,118.3
201505,경상북도,N,120.4
201505,경상남도,N,122.6
201506,전국,Y,126.0
201506,수도권,Y,128.6
201506,서울특별시,N,132.7
201506,인천광역시,N,126.3
201506,경기도,N,126.7
201506,비수도권,Y,122.4
201506,부산광역시,N,127.8
201506,대구광역시,N,134.2
201506,광주광역시,N,126.1
201506,대전광역시,N,114.0
201506,울산광역시,N,130.6
201506,강원도,N,130.0
201506,충청북도,N,108.3
201506,충청남도,N,111.1
201506,전라북도,N,115.6
201506,전라남도,N,119.3
201506,경상북도,N,118.8
201506,경상남도,N,117.0
201507,전국,Y,132.3
201507,수도권,Y,136.4
201507,서울특별시,N,142.5
201507,인천광역시,N,133.1
201507,경기도,N,133.7
201507,비수도권,Y,126.9
201507,부산광역시,N,133.6
201507,대구광역시,N,141.5
201507,광주광역시,N,125.2
201507,대전광역시,N,119.4
201507,울산광역시,N,134.5
201507,강원도,N,136.7
201507,충청북도,N,114.6
201507,충청남도,N,116.7
201507,전라북도,N,118.8
201507,전라남도,N,118.8
201507,경상북도,N,120.3
201507,경상남도,N,122.1
201508,전국,Y,131.6
201508,수도권,Y,135.5
201508,서울특별시,N,140.0
201508,인천광역시,N,133.7
201508,경기도,N,133.3
201508,비수도권,Y,126.6
201508,부산광역시,N,132.6
201508,대구광역시,N,135.8
201508,광주광역시,N,122.5
201508,대전광역시,N,122.5
201508,울산광역시,N,135.2
201508,강원도,N,139.6
201508,충청북도,N,116.5
201508,충청남도,N,116.9
201508,전라북도,N,118.4
201508,전라남도,N,122.6
201508,경상북도,N,120.2
201508,경상남도,N,122.0
201509,전국,Y,129.0
201509,수도권,Y,133.1
201509,서울특별시,N,134.8
201509,인천광역시,N,132.5
201509,경기도,N,132.3
201509,비수도권,Y,123.8
201509,부산광역시,N,130.1
201509,대구광역시,N,129.8
201509,광주광역시,N,122.7
201509,대전광역시,N,117.2
201509,울산광역시,N,128.3
201509,강원도,N,136.9
201509,충청북도,N,113.6
201509,충청남도,N,114.7
201509,전라북도,N,121.2
201509,전라남도,N,118.9
201509,경상북도,N,120.3
201509,경상남도,N,120.1
201510,전국,Y,132.6
201510,수도권,Y,137.9
201510,서울특별시,N,141.8
201510,인천광역시,N,135.3
201510,경기도,N,136.3
201510,비수도권,Y,126.2
201510,부산광역시,N,137.1
201510,대구광역시,N,124.4
201510,광주광역시,N,123.1
201510,대전광역시,N,119.0
201510,울산광역시,N,134.5
201510,강원도,N,143.9
201510,충청북도,N,115.2
201510,충청남도,N,112.7
201510,전라북도,N,122.1
201510,전라남도,N,125.1
201510,경상북도,N,119.0
201510,경상남도,N,122.7
201511,전국,Y,124.0
201511,수도권,Y,128.1
201511,서울특별시,N,131.9
201511,인천광역시,N,126.3
201511,경기도,N,126.4
201511,비수도권,Y,119.1
201511,부산광역시,N,129.4
201511,대구광역시,N,111.8
201511,광주광역시,N,119.5
201511,대전광역시,N,113.9
201511,울산광역시,N,122.9
201511,강원도,N,134.3
201511,충청북도,N,110.7
201511,충청남도,N,106.0
201511,전라북도,N,117.3
201511,전라남도,N,121.8
201511,경상북도,N,113.2
201511,경상남도,N,116.0
201512,전국,Y,109.2
201512,수도권,Y,111.4
201512,서울특별시,N,112.5
201512,인천광역시,N,109.7
201512,경기도,N,111.1
201512,비수도권,Y,106.5
201512,부산광역시,N,113.8
201512,대구광역시,N,94.4
201512,광주광역시,N,107.7
201512,대전광역시,N,108.8
201512,울산광역시,N,111.5
201512,강원도,N,125.8
201512,충청북도,N,103.3
201512,충청남도,N,95.9
201512,전라북도,N,109.0
201512,전라남도,N,111.7
201512,경상북도,N,99.2
201512,경상남도,N,100.8
201601,전국,Y,113.8
201601,수도권,Y,117.7
201601,서울특별시,N,119.8
201601,인천광역시,N,116.9
201601,경기도,N,116.6
201601,비수도권,Y,109.3
201601,부산광역시,N,117.7
201601,대구광역시,N,91.1
201601,광주광역시,N,108.1
201601,대전광역시,N,113.4
201601,울산광역시,N,113.9
201601,강원도,N,130.9
201601,충청북도,N,107.1
201601,충청남도,N,101.4
201601,전라북도,N,113.4
201601,전라남도,N,117.6
201601,경상북도,N,95.6
201601,경상남도,N,107.6
201602,전국,Y,116.0
201602,수도권,Y,120.2
201602,서울특별시,N,122.3
201602,인천광역시,N,118.4
201602,경기도,N,119.4
201602,비수도권,Y,111.2
201602,부산광역시,N,121.0
201602,대구광역시,N,93.3
201602,광주광역시,N,108.0
201602,대전광역시,N,115.6
201602,울산광역시,N,116.2
201602,강원도,N,129.6
201602,충청북도,N,109.2
201602,충청남도,N,101.1
201602,전라북도,N,116.3
201602,전라남도,N,119.0
201602,경상북도,N,95.8
201602,경상남도,N,110.1
201603,전국,Y,116.5
201603,수도권,Y,120.1
201603,서울특별시,N,121.2
201603,인천광역시,N,121.1
201603,경기도,N,119.4
201603,비수도권,Y,112.0
201603,부산광역시,N,122.9
201603,대구광역시,N,98.1
201603,광주광역시,N,107.8
201603,대전광역시,N,111.7
201603,울산광역시,N,113.6
201603,강원도,N,130.6
201603,충청북도,N,109.0
201603,충청남도,N,105.7
201603,전라북도,N,114.8
201603,전라남도,N,119.1
201603,경상북도,N,99.0
201603,경상남도,N,107.6
201604,전국,Y,118.4
201604,수도권,Y,124.7
201604,서울특별시,N,126.6
201604,인천광역시,N,122.7
201604,경기도,N,124.0
201604,비수도권,Y,110.9
201604,부산광역시,N,126.4
201604,대구광역시,N,91.8
201604,광주광역시,N,108.2
201604,대전광역시,N,111.0
201604,울산광역시,N,106.5
201604,강원도,N,132.3
201604,충청북도,N,106.0
201604,충청남도,N,105.1
201604,전라북도,N,112.4
201604,전라남도,N,119.7
201604,경상북도,N,98.4
201604,경상남도,N,106.6
201605,전국,Y,118.3
201605,수도권,Y,125.3
201605,서울특별시,N,128.8
201605,인천광역시,N,122.3
201605,경기도,N,124.0
201605,비수도권,Y,109.8
201605,부산광역시,N,124.8
201605,대구광역시,N,90.8
201605,광주광역시,N,105.9
201605,대전광역시,N,114.4
201605,울산광역시,N,101.2
201605,강원도,N,132.1
201605,충청북도,N,107.9
201605,충청남도,N,103.4
201605,전라북도,N,113.4
201605,전라남도,N,115.2
201605,경상북도,N,96.1
201605,경상남도,N,106.5
201606,전국,Y,117.8
201606,수도권,Y,124.0
201606,서울특별시,N,128.9
201606,인천광역시,N,120.4
201606,경기도,N,121.9
201606,비수도권,Y,109.9
201606,부산광역시,N,123.7
201606,대구광역시,N,89.1
201606,광주광역시,N,110.4
201606,대전광역시,N,114.2
201606,울산광역시,N,100.2
201606,강원도,N,130.3
201606,충청북도,N,108.4
201606,충청남도,N,109.3
201606,전라북도,N,112.5
201606,전라남도,N,122.0
